artist,title,total_album_consumption_millions,album_sales,song_sales_thousands,on_demand_audio_streams_billions,on_demand_video_streams_millions
Taylor Swift,The Life of A Showgirl,5.607,3985,188,2.030,63.4
Morgan Wallen,I'm The Problem,5.125,329,417,6.049,246.6
SZA,SOS,2.599,142,78,3.219,141.3
Soundtrack,KPOP Demon Hunters,2.422,366,400,2.605,205.9
Bad Bunny,DeBÍ TiRAR MáS FOToS,2.393,92,84,2.963,197.7
Kendrick Lamar,GNX,2.216,399,186,2.359,150.3
Sabrina Carpenter,Short n' Sweet,2.046,413,128,2.114,81.7
Morgan Wallen,One Thing At A Time,1.949,46,92,2.458,120.9
PARTYNEXTDOOR & Drake,$ome $exy $ongs 4U,1.766,66,112,2.192,97.8
Tate McRae,So Close To What,1.630,167,71,1.889,52.2
